,0
639,130455
640,130464
641,130472
642,130479
643,130489
644,130497
645,130505
646,130514
647,130521
648,130530
649,130538
650,130547
651,130555
652,130564
653,130572
654,130580
655,130589
656,130597
657,130604
658,130614
659,130622
660,130630
661,130639
662,130646
663,130656
664,130663
665,130672
666,130681
667,130689
668,130697
669,130705
670,130714
671,130722
672,130731
673,130739
674,130747
675,130756
676,130764
677,130771
678,130781
679,130788
680,130797
681,130806
682,130814
683,130822
684,130830
685,130839
686,130847
687,130856
688,130864
689,130872
690,130881
691,130889
692,130896
693,130906
694,130913
695,130922
696,130931
697,130939
698,130947
699,130955
700,130964
701,130973
702,130981
703,130989
704,130997
705,131006
706,131014
707,131023
708,131031
709,131038
710,131048
711,131056
712,131064
713,131073
714,131081
715,131089
716,131098
717,131106
718,131114
719,131123
720,131131
721,131139
722,131148
723,131156
724,131164
725,131173
726,131181
727,131189
728,131198
729,131206
730,131214
731,131223
732,131231
733,131239
734,131248
735,131256
736,131264
737,131273
738,131281
739,131289
740,131298
741,131306
742,131315
743,131323
744,131331
745,131340
746,131348
747,131356
748,131365
749,131373
750,131381
751,131390
752,131398
753,131406
754,131415
755,131423
756,131431
757,131440
758,131448
759,131456
760,131465
761,131473
762,131481
763,131490
764,131498
765,131506
766,131515
767,131523
768,131531
769,131540
770,131548
771,131556
772,131565
773,131573
774,131581
775,131590
776,131598
777,131606
778,131615
779,131623
780,131632
781,131640
782,131648
783,131657
784,131665
785,131673
786,131682
787,131690
788,131698
789,131707
790,131715
791,131723
792,131732
793,131740
794,131748
795,131757
796,131765
797,131773
798,131782
799,131790
800,131798
801,131807
802,131815
803,131823
804,131832
805,131840
806,131848
807,131857
808,131865
809,131873
810,131882
811,131890
812,131898
813,131907
814,131915
815,131923
816,131932
817,131940
818,131948
819,131957
820,131965
821,131974
822,131982
823,131990
824,131999
825,132007
826,132015
827,132024
828,132032
829,132040
830,132049
831,132057
832,132065
833,132074
834,132082
835,132090
836,132099
837,132107
838,132115
839,132124
840,132132
841,132140
842,132149
843,132157
844,132165
845,132174
846,132182
847,132190
848,132199
849,132207
850,132215
851,132224
852,132232
853,132240
854,132249
855,132257
856,132265
857,132274
858,132282
859,132290
860,132299
861,132307
862,132316
863,132324
864,132332
865,132341
866,132349
867,132357
868,132366
869,132374
870,132382
871,132391
872,132399
873,132407
874,132416
875,132424
876,132432
877,132441
878,132449
879,132457
880,132466
881,132474
882,132482
883,132491
884,132499
885,132507
886,132516
887,132524
888,132532
889,132541
890,132549
891,132557
892,132566
893,132574
894,132582
895,132591
896,132599
897,132607
898,132616
899,132624
900,132633
901,132641
902,132649
903,132658
904,132666
905,132674
906,132683
907,132691
908,132699
909,132708
910,132716
911,132724
912,132733
913,132741
914,132749
915,132758
916,132766
917,132774
918,132783
919,132791
920,132799
921,132808
922,132816
923,132824
924,132833
925,132841
926,132849
927,132858
928,132866
929,132874
930,132883
931,132891
932,132899
933,132908
934,132916
935,132924
936,132933
937,132941
938,132949
939,132958
940,132966
941,132975
942,132983
943,132991
944,133000
945,133008
946,133016
947,133025
948,133033
949,133041
950,133050
951,133058
952,133066
953,133075
954,133083
955,133091
956,133100
957,133108
958,133116
959,133125
960,133133
961,133141
962,133150
963,133158
964,133166
965,133175
966,133183
967,133191
968,133200
969,133208
970,133216
971,133225
972,133233
973,133241
974,133250
975,133258
976,133266
977,133275
978,133283
979,133291
980,133300
981,133308
982,133317
983,133325
984,133333
985,133342
986,133350
987,133358
988,133367
989,133375
990,133383
991,133392
992,133400
993,133408
994,133417
995,133425
996,133433
997,133442
998,133450
999,133458
1000,133467
1001,133475
1002,133483
1003,133492
1004,133500
1005,133508
1006,133517
1007,133525
1008,133533
1009,133542
1010,133550
1011,133558
1012,133567
1013,133575
1014,133583
1015,133592
1016,133600
1017,133608
1018,133617
1019,133625
1020,133633
1021,133642
1022,133650
1023,133659
1024,133667
1025,133675
1026,133684
1027,133692
1028,133700
1029,133709
1030,133717
1031,133725
1032,133734
1033,133742
1034,133750
1035,133759
1036,133767
1037,133775
1038,133784
1039,133792
1040,133800
1041,133809
1042,133817
1043,133825
1044,133834
1045,133842
1046,133850
1047,133859
1048,133867
1049,133875
1050,133884
1051,133892
1052,133900
1053,133909
1054,133917
1055,133925
1056,133934
1057,133942
1058,133950
1059,133959
1060,133967
1061,133976
1062,133984
1063,133992
1064,134001
1065,134009
1066,134017
1067,134026
1068,134034
1069,134042
1070,134051
1071,134059
1072,134067
1073,134076
1074,134084
1075,134092
1076,134101
1077,134109
1078,134117
1079,134126
1080,134134
1081,134142
1082,134151
1083,134159
1084,134167
1085,134176
1086,134184
1087,134192
1088,134201
1089,134209
1090,134217
1091,134226
1092,134234
1093,134242
1094,134251
1095,134259
1096,134267
1097,134276
1098,134284
1099,134292
1100,134301
1101,134309
1102,134318
1103,134326
1104,134334
1105,134343
1106,134351
1107,134359
1108,134368
1109,134376
1110,134384
1111,134393
1112,134401
1113,134409
1114,134418
1115,134426
1116,134434
1117,134443
1118,134451
1119,134459
1120,134468
1121,134476
1122,134484
1123,134493
1124,134501
1125,134509
1126,134518
1127,134526
1128,134534
1129,134543
1130,134551
1131,134559
1132,134568
1133,134576
1134,134584
1135,134593
1136,134601
1137,134609
1138,134618
1139,134626
1140,134635
1141,134643
1142,134651
1143,134660
1144,134668
1145,134676
1146,134685
1147,134693
1148,134701
1149,134710
1150,134718
1151,134726
1152,134735
1153,134743
1154,134751
1155,134760
1156,134768
1157,134776
1158,134785
1159,134793
1160,134801
1161,134810
1162,134818
1163,134826
1164,134835
1165,134843
1166,134851
1167,134860
1168,134868
1169,134876
1170,134885
1171,134893
1172,134901
1173,134910
1174,134918
1175,134926
1176,134935
1177,134943
1178,134951
1179,134960
1180,134968
1181,134977
1182,134985
1183,134993
1184,135002
1185,135010
1186,135018
1187,135027
1188,135035
1189,135043
1190,135052
1191,135060
1192,135068
1193,135077
1194,135085
1195,135093
1196,135102
1197,135110
1198,135118
1199,135127
1200,135135
1201,135143
1202,135152
1203,135160
1204,135168
1205,135177
1206,135185
1207,135193
1208,135202
1209,135210
1210,135218
1211,135227
1212,135235
1213,135243
1214,135252
1215,135260
1216,135268
1217,135277
1218,135285
1219,135293
1220,135302
1221,135310
1222,135319
1223,135327
1224,135335
1225,135344
1226,135352
1227,135360
1228,135369
1229,135377
1230,135385
1231,135394
1232,135402
1233,135410
1234,135419
1235,135427
1236,135435
1237,135444
1238,135452
1239,135460
1240,135469
1241,135477
1242,135485
1243,135494
1244,135502
1245,135510
1246,135519
1247,135527
1248,135535
1249,135544
1250,135552
1251,135560
1252,135569
1253,135577
1254,135585
1255,135594
1256,135602
1257,135610
1258,135619
1259,135627
1260,135635
1261,135644
1262,135652
1263,135661
1264,135669
1265,135677
1266,135686
1267,135694
1268,135702
1269,135711
1270,135719
1271,135727
1272,135736
1273,135744
1274,135752
1275,135761
1276,135769
1277,135777
1278,135786
1279,135794
1280,135802
1281,135811
1282,135819
1283,135827
1284,135836
1285,135844
1286,135852
1287,135861
1288,135869
1289,135877
1290,135886
1291,135894
1292,135902
1293,135911
1294,135919
1295,135927
1296,135936
1297,135944
1298,135952
1299,135961
1300,135969
1301,135978
1302,135986
1303,135994
1304,136003
1305,136011
1306,136019
1307,136028
1308,136036
1309,136044
1310,136053
1311,136061
1312,136069
1313,136078
1314,136086
1315,136094
1316,136103
1317,136111
1318,136119
1319,136128
1320,136136
1321,136144
1322,136153
1323,136161
1324,136169
1325,136178
1326,136186
1327,136194
1328,136203
1329,136211
1330,136219
1331,136228
1332,136236
1333,136244
1334,136253
1335,136261
1336,136269
1337,136278
1338,136286
1339,136294
1340,136303
1341,136311
1342,136320
1343,136328
1344,136336
1345,136345
1346,136353
1347,136361
1348,136370
1349,136378
1350,136386
1351,136395
1352,136403
1353,136411
1354,136420
1355,136428
1356,136436
1357,136445
1358,136453
1359,136461
1360,136470
1361,136478
1362,136486
1363,136495
1364,136503
1365,136511
1366,136520
1367,136528
1368,136536
1369,136545
1370,136553
1371,136561
1372,136570
1373,136578
1374,136586
1375,136595
1376,136603
1377,136611
1378,136620
1379,136628
1380,136637
1381,136645
1382,136653
1383,136662
1384,136670
1385,136678
1386,136687
1387,136695
1388,136703
1389,136712
1390,136720
1391,136728
1392,136737
1393,136745
1394,136753
1395,136762
1396,136770
1397,136778
1398,136787
1399,136795
1400,136803
1401,136812
1402,136820
1403,136828
1404,136837
1405,136845
1406,136853
1407,136862
1408,136870
1409,136878
1410,136887
1411,136895
1412,136903
1413,136912
1414,136920
1415,136928
1416,136937
1417,136945
1418,136953
1419,136962
1420,136970
1421,136979
1422,136987
1423,136995
1424,137004
1425,137012
1426,137020
1427,137029
1428,137037
1429,137045
1430,137054
1431,137062
1432,137070
1433,137079
1434,137087
1435,137095
1436,137104
1437,137112
1438,137120
1439,137129
1440,137137
1441,137145
1442,137154
1443,137162
1444,137170
1445,137179
1446,137187
1447,137195
1448,137204
1449,137212
1450,137220
1451,137229
1452,137237
1453,137245
1454,137254
1455,137262
1456,137270
1457,137279
1458,137287
1459,137295
1460,137304
1461,137312
1462,137321
1463,137329
1464,137337
1465,137346
1466,137354
1467,137362
1468,137371
1469,137379
1470,137387
1471,137396
1472,137404
1473,137412
1474,137421
1475,137429
1476,137437
1477,137446
1478,137454
1479,137462
1480,137471
1481,137479
1482,137487
1483,137496
1484,137504
1485,137512
1486,137521
1487,137529
1488,137537
1489,137546
1490,137554
1491,137562
1492,137571
1493,137579
1494,137587
1495,137596
1496,137604
1497,137612
1498,137621
1499,137629
1500,137637
1501,137646
1502,137654
1503,137663
1504,137671
1505,137679
1506,137688
1507,137696
1508,137704
1509,137713
1510,137721
1511,137729
1512,137738
1513,137746
1514,137754
1515,137763
1516,137771
1517,137779
1518,137788
1519,137796
1520,137804
1521,137813
1522,137821
1523,137829
1524,137838
1525,137846
1526,137854
1527,137863
1528,137871
1529,137879
1530,137888
1531,137896
1532,137904
1533,137913
1534,137921
1535,137929
1536,137938
1537,137946
1538,137954
1539,137963
1540,137971
1541,137980
1542,137988
1543,137996
1544,138005
1545,138013
1546,138021
1547,138030
1548,138038
1549,138046
1550,138055
1551,138063
1552,138071
1553,138080
1554,138088
1555,138096
1556,138105
1557,138113
1558,138121
1559,138130
1560,138138
1561,138146
1562,138155
1563,138163
1564,138171
1565,138180
1566,138188
1567,138196
1568,138205
1569,138213
1570,138221
1571,138230
1572,138238
1573,138246
1574,138255
1575,138263
1576,138271
1577,138280
1578,138288
1579,138296
1580,138305
1581,138313
1582,138322
1583,138330
1584,138338
1585,138347
1586,138355
1587,138363
1588,138372
1589,138380
1590,138388
1591,138397
1592,138405
1593,138413
1594,138422
1595,138430
1596,138438
1597,138447
1598,138455
1599,138463
1600,138472
1601,138480
1602,138488
1603,138497
1604,138505
1605,138513
1606,138522
1607,138530
1608,138538
1609,138547
1610,138555
1611,138563
1612,138572
1613,138580
1614,138588
1615,138597
1616,138605
1617,138613
1618,138622
1619,138630
1620,138639
1621,138647
1622,138655
1623,138664
1624,138672
1625,138680
1626,138689
1627,138697
1628,138705
1629,138714
1630,138722
1631,138730
1632,138739
1633,138747
1634,138755
1635,138764
1636,138772
1637,138780
1638,138789
1639,138797
1640,138805
1641,138814
1642,138822
1643,138830
1644,138839
1645,138847
1646,138855
1647,138864
1648,138872
1649,138880
1650,138889
1651,138897
1652,138905
1653,138914
1654,138922
1655,138930
1656,138939
1657,138947
1658,138955
1659,138964
1660,138972
1661,138981
1662,138989
1663,138997
1664,139006
1665,139014
1666,139022
1667,139031
1668,139039
1669,139047
1670,139056
1671,139064
1672,139072
1673,139081
1674,139089
1675,139097
1676,139106
1677,139114
1678,139122
1679,139131
1680,139139
1681,139147
1682,139156
1683,139164
1684,139172
1685,139181
1686,139189
1687,139197
1688,139206
1689,139214
1690,139222
1691,139231
1692,139239
1693,139247
1694,139256
1695,139264
1696,139272
1697,139281
1698,139289
1699,139297
1700,139306
1701,139314
1702,139323
1703,139331
1704,139339
1705,139348
1706,139356
1707,139364
1708,139373
1709,139381
